Year,Month,Variable,101,102
1987,12,precip,22.798752,22.798752
1988,1,precip,32.372076,32.372076
1988,2,precip,13.414369,13.414369
1988,3,precip,57.662243,57.662243
1988,4,precip,20.195506,20.195506
1988,5,precip,63.14631,63.14631
1988,6,precip,81.94455,81.94455
1988,7,precip,86.940636,86.940636
1988,8,precip,232.93852,232.93852
1988,9,precip,99.15548,99.15548
1988,10,precip,34.99361,34.99361
1988,11,precip,64.460644,64.460644
1988,12,precip,34.242882,34.242882
1989,1,precip,46.96199,46.96199
1989,2,precip,19.41846,19.41846
1989,3,precip,43.49312,43.49312
1989,4,precip,43.58229,43.58229
1989,5,precip,78.55908,78.55908
1989,6,precip,134.4731,134.4731
1989,7,precip,66.95405,66.95405
1989,8,precip,110.19997,110.19997
1989,9,precip,98.45652,98.45652
1989,10,precip,53.418343,53.418343
1989,11,precip,23.955503,23.955503
1989,12,precip,21.314067,21.314067
1990,1,precip,29.977468,29.977468
1990,2,precip,23.205975,23.205975
1990,3,precip,47.56733,47.56733
1990,4,precip,99.08835,99.08835
1990,5,precip,38.425247,38.425247
1990,6,precip,143.29865,143.29865
1990,7,precip,74.972725,74.972725
1990,8,precip,57.893852,57.893852
1990,9,precip,103.19182,103.19182
1990,10,precip,105.14443,105.14443
1990,11,precip,22.159784,22.159784
1990,12,precip,28.224766,28.224766
1991,1,precip,22.680047,22.680047
1991,2,precip,27.335354,27.335354
1991,3,precip,45.26337,45.26337
1991,4,precip,66.31174,66.31174
1991,5,precip,104.01878,104.01878
1991,6,precip,100.234604,100.234604
1991,7,precip,141.84457,141.84457
1991,8,precip,55.057457,55.057457
1991,9,precip,134.43176,134.43176
1991,10,precip,58.757812,58.757812
1991,11,precip,84.35263,84.35263
1991,12,precip,30.489714,30.489714
1992,1,precip,22.383603,22.383603
1992,2,precip,28.154448,28.154448
1992,3,precip,20.899376,20.899376
1992,4,precip,48.56294,48.56294
1992,5,precip,65.33193,65.33193
1992,6,precip,103.99989,103.99989
1992,7,precip,112.08906,112.08906
1992,8,precip,138.94052,138.94052
1992,9,precip,86.4435,86.4435
1992,10,precip,25.704668,25.704668
1992,11,precip,40.745447,40.745447
1992,12,precip,36.901152,36.901152
1993,1,precip,31.59457,31.59457
1993,2,precip,11.033199,11.033199
1993,3,precip,21.211862,21.211862
1993,4,precip,67.624336,67.624336
1993,5,precip,96.89031,96.89031
1993,6,precip,118.55245,118.55245
1993,7,precip,207.16846,207.16846
1993,8,precip,107.85525,107.85525
1993,9,precip,65.458664,65.458664
1993,10,precip,32.777233,32.777233
1993,11,precip,52.97449,52.97449
1993,12,precip,34.429972,34.429972
1994,1,precip,31.584698,31.584698
1994,2,precip,20.294008,20.294008
1994,3,precip,28.481455,28.481455
1994,4,precip,92.47939,92.47939
1994,5,precip,67.98665,67.98665
1994,6,precip,203.60292,203.60292
1994,7,precip,105.52473,105.52473
1994,8,precip,83.26897,83.26897
1994,9,precip,98.66425,98.66425
1994,10,precip,71.03602,71.03602
1994,11,precip,43.450104,43.450104
1994,12,precip,18.598179,18.598179
1995,1,precip,30.52082,30.52082
1995,2,precip,27.308296,27.308296
1995,3,precip,31.617798,31.617798
1995,4,precip,43.384014,43.384014
1995,5,precip,71.696606,71.696606
1995,6,precip,43.895496,43.895496
1995,7,precip,184.42659,184.42659
1995,8,precip,136.85326,136.85326
1995,9,precip,97.32502,97.32502
1995,10,precip,114.32072,114.32072
1995,11,precip,36.642477,36.642477
1995,12,precip,39.300102,39.300102
1996,1,precip,45.81189,45.81189
1996,2,precip,38.884914,38.884914
1996,3,precip,23.259582,23.259582
1996,4,precip,41.16414,41.16414
1996,5,precip,55.092316,55.092316
1996,6,precip,125.58307,125.58307
1996,7,precip,156.44325,156.44325
1996,8,precip,74.44181,74.44181
1996,9,precip,99.29573,99.29573
1996,10,precip,105.750885,105.750885
1996,11,precip,91.89824,91.89824
1996,12,precip,40.168482,40.168482
1997,1,precip,56.24989,56.24989
1997,2,precip,16.1953173,16.1953173
1997,3,precip,48.109554,48.109554
1997,4,precip,34.22792,34.22792
1997,5,precip,60.143448,60.143448
1997,6,precip,149.8825,149.8825
1997,7,precip,110.17459,110.17459
1997,8,precip,57.47226,57.47226
1997,9,precip,79.98448,79.98448
1997,10,precip,74.45995,74.45995
1997,11,precip,42.763546,42.763546
