Table,Parameter,Abbreviation,Units,Foliage Nature,Species,Value,Source
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.227,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.244,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.25,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.278,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus monticola ,0.217,Hanley 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus nigra ,0.417,Minderman 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus nigra ,0.435,Miller et al. 1976; Miller and Miller 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus nigra ,0.417,Miller et al. 1976; Miller and Miller 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus nigra ,0.417,Miller et al. 1976; Miller and Miller 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus nigra ,0.4,Miller et al. 1976; Miller and Miller 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus nigra ,0.37,Miller et al. 1976; Miller and Miller 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus pinea ,0.154,Droste zu Hülshoff 1970; Ellenberg 1981a
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus ponderosa ,0.417,Whittaker and Niering 1968; Whittaker and Niering 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus ponderosa ,0.435,Whittaker and Niering 1968; Whittaker and Niering 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus ponderosa ,0.476,Whittaker and Niering 1968; Whittaker and Niering 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus ponderosa ,0.357,Whittaker and Niering 1968; Whittaker and Niering 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus radiata ,0.333,Forrest 1973; Forrest and Ovington 1970
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus radiata ,0.294,Forrest 1973; Forrest and Ovington 1970
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus radiata ,0.588,Forrest 1973; Forrest and Ovington 1970
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus radiata ,0.476,Forrest 1973; Forrest and Ovington 1970
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus radiata ,0.5,Madgwick et al. 1977a; Madgwick et al. 1977b
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Pinus radiata ,0.5,Madgwick et al. 1977a; Madgwick et al. 1977b
