Table,Parameter,Abbreviation,Units,Foliage Nature,Species,Value,Source
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.685,Kakubari 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.827,Kakubari 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.747,Kakubari 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,1.8,Maruyama 1971; Maruyama 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,1.81,Maruyama 1971; Maruyama 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,2.25,Maruyama 1971; Maruyama 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,2.02,Maruyama 1971; Maruyama 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,1.73,Maruyama 1971; Maruyama 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,2.08,Maruyama 1971; Maruyama 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,1.36,Maruyama 1971; Maruyama 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,1.68,Maruyama 1971; Maruyama 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,1.31,Maruyama 1971; Maruyama 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,3.11,Kawahara et al. 1979; Ogino 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus grandifolia,2.37,Turner et al. 1976
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus grandifolia,1.58,Bormann et al. 1970; Gosz et al. 1972; Whittaker et al. 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus grandifolia,1.82,Bormann et al. 1970; Gosz et al. 1972; Whittaker et al. 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus grandifolia,1.87,Bormann et al. 1970; Gosz et al. 1972; Whittaker et al. 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus grandifolia,1.1,Whittaker 1966; Whittaker 1971; Young 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,3.88,Kestemont 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,2.84,Duvigneaud and Kestemont 1977; Kestemont 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,0.533,Pollard 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,2,Auclair and Me´teyer 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,1.83,Leme´e 1978
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,2.8,Ellenberg 1971; Ellenberg 1981b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,2.02,Ellenberg 1971; Ellenberg 1981b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,2.39,Hytteborn 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,3.39,Nihlgard 1972; Nihlgard and Lindgren 1977; Nihlgard and Lindgren 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,3.22,Nihlgard 1972; Nihlgard and Lindgren 1977; Nihlgard and Lindgren 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Liriodendron tulipifera,1.22,Whittaker 1966; Whittaker 1971; Young 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Liriodendron tulipifera,4.85,Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Liriodendron tulipifera,0.608,Harris et al. 1977; Reichle et al. 1981; Sollins et al. 1973
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus davidiana,1.82,Kawahara et al. 1979; Ogino 1977
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus grandidenta,0.91,Harris et al. 1973; Harris and Henderson 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus grandidenta,3.58,Koerper and Richardson 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus grandidenta,3.13,Koerper and Richardson 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,2.05,Koerper and Richardson 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,0.706,Bray and Dudkiewicz 1963; Gosz 1980
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,1.75,Alban and Niering 1975; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,3.36,Alban and Niering 1975; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,2.45,Crow 1978
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,1.69,Crow 1978
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,2.42,Kestemont 1971; Kestemont 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,2.77,Pollard 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,2.38,Pollard 1972
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus,5.28,Whittaker 1963; Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus alba,1.03,Crow 1978
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus alba,1.36,Lawson et al. 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus alba,1.09,Lawson et al. 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus alba,0.8,Rochow 1974a; Rochow 1974b; Rochow 1975;Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus borealis,3.43,Rochow 1974a; Rochow 1974b; Rochow 1975; Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus borealis,1.68,Ovington et al. 1963; Whittaker 1963; Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus ellipsoidalis,1.17,Ovington et al. 1963; Whittaker 1963; Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus oblongifolia,1.85,Reiners 1972; Reiners and Reiners 1970; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus pedunculiflora,0.803,Decei 1981; Donita et al. 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus petraea,2.89,Duvigneaud and Kestemont 1977; Kestemont 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus petraea,1.73,Duvigneaud and Froment 1969; Duvigneaud and Kestemont 1977; Duvigneaud et al. 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus petraea,2.7,Ellenberg 1971; Ellenberg 1981b
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus petraea,3,Satoo 1970; Satoo et al. 1956
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus prinus,1.57,Reiners 1972; Reiners and Reiners 1970; Whittaker and Niering 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus prinus,3.33,Whittaker 1963; Whittaker 1966
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus prinus,1.32,Harris et al. 1973; Harris and Henderson 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus pubescens,1.9,van der Drift 1974; van der Drift 1981
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus robur,2.6,Duvigneaud and Froment 1969; Duvigneaud and Kestemont 1977; Duvigneaud et al. 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus robur,2.11,Duvigneaud and Froment 1969; Duvigneaud and Kestemont 1977; Duvigneaud et al. 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus robur,1.79,Duvigneaud and Froment 1969; Duvigneaud and Kestemont 1977; Duvigneaud et al. 1971
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus robur,2.66,Kestemont 1971; Kestemont 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus robur,2.01,Hytteborn 1975
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus stellata,1.32,Day and Monk 1977a; Day and Monk 1977b; Day and Monk 1974
A.2.2,New stem C to new leaf C allocation ,SC:LC,kg C per kg C,Deciduous broad leaf forest,Taxodium distichum,1.65,Johnson and Risser 1974
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Evergreen needle leaf forest,Abies balsamea,0.056,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Evergreen needle leaf forest,Larix occidentalis,0.1,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Evergreen needle leaf forest,Picea engelmannii,0.059,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,0.076,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,0.073,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Evergreen needle leaf forest,Sequoia sempervirens,0.078,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Evergreen needle leaf forest,Taxodium distichum,0.066,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Evergreen needle leaf forest,Tsuga canadensis,0.059,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Deciduous broad leaf forest,Acer saccharum,0.179,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Deciduous broad leaf forest,Betula alleghaniensis,0.107,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Deciduous broad leaf forest,Fagus grandifolia,0.204,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Deciduous broad leaf forest,Liriodendron tulipifera,0.142,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Deciduous broad leaf forest,Populus tremuloides,0.096,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Deciduous broad leaf forest,Quercus alba,0.279,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Deciduous broad leaf forest,Robinia pseudoacacia,0.209,Panshin et al. 1964
A.2.3,LWC:TWC,LWC:TWC,kg C per kg C,Deciduous broad leaf forest,Tilia americana,0.006,Panshin et al. 1964
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies amabilis,0.395,Gholz et al. 1979; Grier and Milne 1981; Grier et al. 1981
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies amabilis,0.202,Gholz et al. 1979; Grier and Milne 1981; Grier et al. 1981
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.659,Tadaki et al. 1967
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.298,Tadaki et al. 1967
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.301,Tadaki et al. 1967
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.302,Tadaki et al. 1967
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.488,Tadaki et al. 1970
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.318,Tadaki et al. 1970
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.413,Tadaki et al. 1970
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.273,Tadaki et al. 1970
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.235,Tadaki et al. 1970
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Abies veitchii,0.266,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Picea abies,0.159,Duvigneaud and Kestemont 1977; Kestemont 1975
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Picea abies,0.194,Droste zu Hu¨lshoff 1970; Ellenberg 1981b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Picea abies,0.23,Nihlgard 1972; Nihlgard and Lindgren 1977; Nihlgard and Lindgren 1981
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,0.236,Hatiya et al. 1965
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,0.246,Hatiya et al. 1965
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,0.24,Hatiya et al. 1965
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,0.238,Hatiya et al. 1965
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus densiflora,0.259,Hatiya et al. 1965
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.211,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.25,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.171,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.367,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.483,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.186,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.2,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.165,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.184,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.213,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.203,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.187,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.173,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus monticola,0.174,Hanley 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,0.22,Miller et al. 1976; Miller and Miller 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,0.515,Miller et al. 1976; Miller and Miller 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,0.303,Miller et al. 1976; Miller and Miller 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,0.264,Miller et al. 1976; Miller and Miller 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus nigra,0.471,Miller et al. 1976; Miller and Miller 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus pinea,0.288,Droste zu Hu¨lshoff 1970; Ellenberg 1981b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,0.593,Mälkönen 1974
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,0.375,Mälkönen 1974
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,0.351,Mälkönen 1974
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,0.221,Nemeth 1973a; Nemeth 1973b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,0.228,Nemeth 1973a; Nemeth 1973b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,0.182,Nemeth 1973a; Nemeth 1973b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,0.181,Nemeth 1973a; Nemeth 1973b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,0.841,Harris et al. 1977; Kinerson et al. 1977; Ralston 1973
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,0.25,Nemeth 1973a; Nemeth 1973b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,0.31,Cole et al. 1968; Cole et al. 1981; Dice 1970;Grier et al. 1974
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,0.151,Cole et al. 1968; Cole et al. 1981; Dice 1970; Grier et al. 1974
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,0.472,Keyes and Grier 1981
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,0.257,Keyes and Grier 1981
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Tsuga heterophylla,0.214,Fujimori 1971; Fujimori et al. 1976; Grier 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Tsuga heterophylla,0.248,Fujimori 1971; Fujimori et al. 1976; Grier 1976
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Evergreen needle leaf forest,Tsuga sieboldii,0.181,Ando et al. 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Aesculus octandra,0.247,Whittaker 1966; Whittaker 1971
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Alnus glutinosa,0.161,Kestemont 1975
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Alnus rubra,0.274,Zavitkovski et al. 1976; Zavitkovski and Stevens 1972
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Betula pubescens,0.452,Ma¨lko¨nen 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Betula pubescens,0.127,Leme´e 1978
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.162,Tadaki et al. 1969
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.227,Tadaki et al. 1969
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.134,Tadaki et al. 1969
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.165,Kakubari 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.168,Kakubari 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.178,Kakubari 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.142,Kakubari 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.126,Kakubari 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.16,Kakubari 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.144,Kakubari 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.134,Kakubari 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.311,Maruyama 1971; Maruyama 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.31,Maruyama 1971; Maruyama 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.288,Maruyama 1971; Maruyama 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.299,Maruyama 1971; Maruyama 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.316,Maruyama 1971; Maruyama 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.297,Maruyama 1971; Maruyama 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.336,Maruyama 1971; Maruyama 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.319,Maruyama 1971; Maruyama 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.354,Maruyama 1971; Maruyama 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus crenata,0.231,Kawahara et al. 1979; Ogino 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus grandifolia,0.31,Bormann et al. 1970; Gosz et al. 1972; Whittaker et al. 1974
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus grandifolia,0.315,Bormann et al. 1970; Gosz et al. 1972; Whittaker et al. 1974
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus grandifolia,0.319,Bormann et al. 1970; Gosz et al. 1972; Whittaker et al. 1974
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,0.161,Duvigneaud and Kestemont 1977; Kestemont 1975
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,0.216,Duvigneaud and Kestemont 1977; Kestemont 1975
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,0.135,Ellenberg 1971; Ellenberg 1981b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,0.09,Ellenberg 1971; Ellenberg 1981b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,0.077,Ellenberg 1971; Ellenberg 1981b
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,0.197,Nihlgard 1972; Nihlgard and Lindgren 1977
A.2.4,New coarse root C to new stem C allocation,CRC:SC,kg C per kg C,Deciduous broad leaf forest,Fagus sylvatica,0.174,Nihlgard 1972; Nihlgard and Lindgren 1977
